Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	Variance
10	0.0009646056205488116	0.0769312562037393	0.0015795543945241169	-0.0005312028529938539	0.0	1.857749314542097e-05	0.0	0.0	0.0	-0.0016561881324073237	0.0	0.02008123649933274	0.002860201462228213	0.002652727988837483	-0.00033730180156311084	0.004304125464244644	0.0	0.0008490180587770967	0.0002826765609166022	0.031005969824654693	0.0003708658282100668
11	-0.0005170333159965657	0.04277623219510727	0.004655945947870841	0.00017883334689654476	0.0	2.63995314242443e-05	0.0	0.0	0.0	-0.00110143961774056	0.0	-0.0027325465552546224	0.0045958919985101465	-0.003960106175879563	-0.00034583469502162987	0.00627809949107269	0.0	0.002689639797543677	0.00011856036865297538	-0.014502055126622684	0.0002922771007340787
12	-0.0006517147593181342	0.0991021773636042	-0.0067784987100957435	0.0010705160061693438	0.0	-4.403591120164445e-05	0.0	0.0	0.0	0.0004921081406457612	0.0	-0.01791481449009397	0.003264606334395452	0.001754639162323744	-0.00048322679882770023	0.009276673332723704	0.0	0.0002293879751843549	-0.00040114693689813217	-0.019207838009414464	0.0002474577335761054
13	5.4300067607236173e-05	-0.0974692892959568	0.0023766547728470092	0.0007063703928735054	0.0	-3.401715907724302e-05	0.0	0.0	0.0	-0.0010170823438167417	0.0	-0.0021017920279361416	0.0022865307544111483	0.0016818748333531635	-0.0005666449192566297	0.016998937035325852	0.0	0.0015464683911217334	-0.0007058712781566963	-0.02416888457299765	0.00015267462354597757
14	0.00026705112047524114	0.07313262393943877	-0.0006683293656192142	-0.0011447629667376926	0.0	0.0002612906303108026	0.0	0.0	0.0	-0.0022064753304868803	0.0	-0.002729547564323347	-0.005985829283537919	-0.0009391921298165776	-8.159260595716731e-05	-0.0014065654992355056	0.0	0.0007244733566088802	0.00013316892691766014	0.012741067807084444	7.437452974635148e-05
15	-0.00031001334636891623	0.0066831966464475255	-0.0031778169119599108	-5.0601470641093106e-05	0.0	-0.00037696570969012225	0.0	0.0	0.0	-0.003442762573754681	0.0	-0.011345276908533528	-0.005236848157066705	0.00043462340634089255	-2.3593553444589317e-05	0.012953063479238067	0.0	1.1758345383343175e-05	-0.0001205335381820864	0.03311822190084495	6.736662468599879e-05
16	4.967356023808467e-05	0.0007071200132034293	0.0008769695843443001	-0.00027427717820006643	0.0	-5.372448991368754e-06	0.0	0.0	0.0	-0.00040341328074796257	0.0	-0.0046659519628576345	0.0017142128809912545	0.0003248273885246369	3.50508649211824e-05	-0.00029269348201967717	0.0	-0.0007809739081610096	0.0001357394305830293	0.010262573916992491	3.7775302927688234e-05
17	3.780122964705823e-05	-0.023150466261091473	0.0013990677010498006	-3.594486098747979e-05	0.0	1.4235484090415075e-06	0.0	0.0	0.0	0.00010089161011215934	0.0	-0.003823492238281414	0.0002574345212888004	-9.83437846031633e-05	-0.00043649827986166445	0.0014617833448275122	0.0	0.00016864624373104172	-0.00026719880587550794	0.003880856298544547	2.5975694172460756e-05
18	-0.00015988059589672334	0.004095308926080378	0.0004343299601536433	-0.0008903911087973348	0.0	-9.243987632065451e-05	0.0	0.0	0.0	-0.0003540062799416441	0.0	-0.0009775289763764307	0.0022207474019181744	0.002118624423018136	-0.000389873917226855	-0.001524363573749046	0.0	-0.0011632990266294792	0.0004240537405211095	0.0025496191854794143	2.4557464273716977e-05
19	-7.116635733603502e-18	-2.1475486371824032e-15	1.7669959229834334e-17	4.46057115187581e-17	0.0	3.66035673914396e-18	0.0	0.0	0.0	9.881542793809683e-17	0.0	-8.425747279510217e-16	1.1616820684852566e-16	-4.190961055545601e-17	8.199112250418366e-18	-4.84269853497221e-16	0.0	-5.894840003010501e-18	-3.3953258495084764e-17	-7.984465881824063e-16	3.2424484021578866e-30
